yh [-],xl [-],z[-],c_m [user_defined],c_s [user_defined],vfrac_liqwater [-],vfrac_swe [-],v_liqwater [mm*mm*m],v_swe [mm*mm*m],v_air [mm*mm*m]
5,9,0,0,0.135784890366924,0,1,0,32.0384461353624,5
6,0,0,0,0.135784890366924,0,1,0,32.0384461353624,5
6,1,0,0,0.135784890366924,0,1,0,32.0384461353624,5
6,2,0,0,0.135784890366924,0,1,0,32.0384461353624,5
6,3,0,0,0.135784890366924,0,1,0,32.0384461353624,5
6,4,0,0,0.135784890366924,0,1,0,32.0384461353624,5
6,5,0,0,0.135784890366924,0,1,0,32.0384461353624,5
6,6,0,0,0.135784890366924,0,1,0,32.0384461353624,5
6,7,0,0,0.135784890366924,0,1,0,32.0384461353624,5
6,8,0,0,0.135784890366924,0,1,0,32.0384461353624,5
6,9,0,0,0.135784890366924,0,1,0,32.0384461353624,5
7,0,0,0,0.135784890366924,0,1,0,32.0384461353624,5
7,1,0,0,0.135784890366924,0,1,0,32.0384461353624,5
7,2,0,0,0.135784890366924,0,1,0,32.0384461353624,5
7,3,0,0,0.135784890366924,0,1,0,32.0384461353624,5
7,4,0,0,0.135784890366924,0,1,0,32.0384461353624,5
7,5,0,0,0.135784890366924,0,1,0,32.0384461353624,5
7,6,0,0,0.135784890366924,0,1,0,32.0384461353624,5
7,7,0,0,0.135784890366924,0,1,0,32.0384461353624,5
7,8,0,0,0.135784890366924,0,1,0,32.0384461353624,5
7,9,0,0,0.135784890366924,0,1,0,32.0384461353624,5
8,0,0,0,0.135784890366924,0,1,0,32.0384461353624,5
8,1,0,0,0.135784890366924,0,1,0,32.0384461353624,5
8,2,0,0,0.135784890366924,0,1,0,32.0384461353624,5
8,3,0,0,0.135784890366924,0,1,0,32.0384461353624,5
8,4,0,0,0.135784890366924,0,1,0,32.0384461353624,5
8,5,0,0,0.135784890366924,0,1,0,32.0384461353624,5
8,6,0,0,0.135784890366924,0,1,0,32.0384461353624,5
8,7,0,0,0.135784890366924,0,1,0,32.0384461353624,5
8,8,0,0,0.135784890366924,0,1,0,32.0384461353624,5
8,9,0,0,0.135784890366924,0,1,0,32.0384461353624,5
9,0,0,0,0.135784890366924,0,1,0,32.0384461353624,5
9,1,0,0,0.135784890366924,0,1,0,32.0384461353624,5
9,2,0,0,0.135784890366924,0,1,0,32.0384461353624,5
9,3,0,0,0.135784890366924,0,1,0,32.0384461353624,5
9,4,0,0,0.135784890366924,0,1,0,32.0384461353624,5
9,5,0,0,0.135784890366924,0,1,0,32.0384461353624,5
9,6,0,0,0.135784890366924,0,1,0,32.0384461353624,5
9,7,0,0,0.135784890366924,0,1,0,32.0384461353624,5
9,8,0,0,0.135784890366924,0,1,0,32.0384461353624,5
9,9,0,0,0.135784890366924,0,1,0,32.0384461353624,5
10,0,0,0,0.135784890366924,0,1,0,32.0384461353624,5
10,1,0,0,0.135784890366924,0,1,0,32.0384461353624,5
10,2,0,0,0.135784890366924,0,1,0,32.0384461353624,5
10,3,0,0,0.135784890366924,0,1,0,32.0384461353624,5
10,4,0,0,0.135784890366924,0,1,0,32.0384461353624,5
10,5,0,0,0.135784890366924,0,1,0,32.0384461353624,5
10,6,0,0,0.135784890366924,0,1,0,32.0384461353624,5
10,7,0,0,0.135784890366924,0,1,0,32.0384461353624,5
10,8,0,0,0.135784890366924,0,1,0,32.0384461353624,5
10,9,0,0,0.135784890366924,0,1,0,32.0384461353624,5
11,0,0,0,0.092498142775513,0,1,0,32.0384461353624,5
11,1,0,0,0.092498142775513,0,1,0,32.0384461353624,5
11,2,0,0,0.092498142775513,0,1,0,32.0384461353624,5
11,3,0,0,0.092498142775513,0,1,0,32.0384461353624,5
11,4,0,0,0.092498142775513,0,1,0,32.0384461353624,5
11,5,0,0,0.092498142775513,0,1,0,32.0384461353624,5
11,6,0,0,0.092498142775513,0,1,0,32.0384461353624,5
11,7,0,0,0.092498142775513,0,1,0,32.0384461353624,5
11,8,0,0,0.092498142775513,0,1,0,32.0384461353624,5
11,9,0,0,0.092498142775513,0,1,0,32.0384461353624,5
12,0,0,0,0.092498142775513,0,1,0,32.0384461353624,5
12,1,0,0,0.092498142775513,0,1,0,32.0384461353624,5
12,2,0,0,0.092498142775513,0,1,0,32.0384461353624,5
12,3,0,0,0.092498142775513,0,1,0,32.0384461353624,5
12,4,0,0,0.092498142775513,0,1,0,32.0384461353624,5
12,5,0,0,0.092498142775513,0,1,0,32.0384461353624,5
12,6,0,0,0.092498142775513,0,1,0,32.0384461353624,5
12,7,0,0,0.092498142775513,0,1,0,32.0384461353624,5
12,8,0,0,0.092498142775513,0,1,0,32.0384461353624,5
12,9,0,0,0.092498142775513,0,1,0,32.0384461353624,5
13,0,0,0,0.092498142775513,0,1,0,32.0384461353624,5
13,1,0,0,0.092498142775513,0,1,0,32.0384461353624,5
13,2,0,0,0.092498142775513,0,1,0,32.0384461353624,5
13,3,0,0,0.092498142775513,0,1,0,32.0384461353624,5
13,4,0,0,0.092498142775513,0,1,0,32.0384461353624,5
13,5,0,0,0.092498142775513,0,1,0,32.0384461353624,5
13,6,0,0,0.092498142775513,0,1,0,32.0384461353624,5
13,7,0,0,0.092498142775513,0,1,0,32.0384461353624,5
13,8,0,0,0.092498142775513,0,1,0,32.0384461353624,5
13,9,0,0,0.092498142775513,0,1,0,32.0384461353624,5
14,0,0,0,0.092498142775513,0,1,0,32.0384461353624,5
14,1,0,0,0.092498142775513,0,1,0,32.0384461353624,5
14,2,0,0,0.092498142775513,0,1,0,32.0384461353624,5
14,3,0,0,0.092498142775513,0,1,0,32.0384461353624,5
14,4,0,0,0.092498142775513,0,1,0,32.0384461353624,5
14,5,0,0,0.092498142775513,0,1,0,32.0384461353624,5
14,6,0,0,0.092498142775513,0,1,0,32.0384461353624,5
14,7,0,0,0.092498142775513,0,1,0,32.0384461353624,5
14,8,0,0,0.092498142775513,0,1,0,32.0384461353624,5
14,9,0,0,0.092498142775513,0,1,0,32.0384461353624,5
15,0,0,0,0.092498142775513,0,1,0,32.0384461353624,5
15,1,0,0,0.092498142775513,0,1,0,32.0384461353624,5
15,2,0,0,0.092498142775513,0,1,0,32.0384461353624,5
15,3,0,0,0.092498142775513,0,1,0,32.0384461353624,5
15,4,0,0,0.092498142775513,0,1,0,32.0384461353624,5
15,5,0,0,0.092498142775513,0,1,0,32.0384461353624,5
15,6,0,0,0.092498142775513,0,1,0,32.0384461353624,5
15,7,0,0,0.092498142775513,0,1,0,32.0384461353624,5
15,8,0,0,0.092498142775513,0,1,0,32.0384461353624,5
15,9,0,0,0.092498142775513,0,1,0,32.0384461353624,5
16,0,0,0,0.092498142775513,0,1,0,32.0384461353624,5
16,1,0,0,0.092498142775513,0,1,0,32.0384461353624,5
16,2,0,0,0.092498142775513,0,1,0,32.0384461353624,5
16,3,0,0,0.092498142775513,0,1,0,32.0384461353624,5
16,4,0,0,0.092498142775513,0,1,0,32.0384461353624,5
16,5,0,0,0.092498142775513,0,1,0,32.0384461353624,5
16,6,0,0,0.092498142775513,0,1,0,32.0384461353624,5
16,7,0,0,0.092498142775513,0,1,0,32.0384461353624,5
16,8,0,0,0.092498142775513,0,1,0,32.0384461353624,5
16,9,0,0,0.092498142775513,0,1,0,32.0384461353624,5
17,0,0,0,0.092498142775513,0,1,0,32.0384461353624,5
17,1,0,0,0.092498142775513,0,1,0,32.0384461353624,5
17,2,0,0,0.092498142775513,0,1,0,32.0384461353624,5
17,3,0,0,0.092498142775513,0,1,0,32.0384461353624,5
17,4,0,0,0.092498142775513,0,1,0,32.0384461353624,5
17,5,0,0,0.092498142775513,0,1,0,32.0384461353624,5
17,6,0,0,0.092498142775513,0,1,0,32.0384461353624,5
17,7,0,0,0.092498142775513,0,1,0,32.0384461353624,5
17,8,0,0,0.092498142775513,0,1,0,32.0384461353624,5
17,9,0,0,0.092498142775513,0,1,0,32.0384461353624,5
18,0,0,0,0.092498142775513,0,1,0,32.0384461353624,5
18,1,0,0,0.092498142775513,0,1,0,32.0384461353624,5
18,2,0,0,0.092498142775513,0,1,0,32.0384461353624,5
18,3,0,0,0.092498142775513,0,1,0,32.0384461353624,5
18,4,0,0,0.092498142775513,0,1,0,32.0384461353624,5
18,5,0,0,0.092498142775513,0,1,0,32.0384461353624,5
18,6,0,0,0.092498142775513,0,1,0,32.0384461353624,5
18,7,0,0,0.092498142775513,0,1,0,32.0384461353624,5
18,8,0,0,0.092498142775513,0,1,0,32.0384461353624,5
18,9,0,0,0.092498142775513,0,1,0,32.0384461353624,5
19,0,0,0,0.092498142775513,0,1,0,32.0384461353624,5
19,1,0,0,0.092498142775513,0,1,0,32.0384461353624,5
19,2,0,0,0.092498142775513,0,1,0,32.0384461353624,5
19,3,0,0,0.092498142775513,0,1,0,32.0384461353624,5
19,4,0,0,0.092498142775513,0,1,0,32.0384461353624,5
19,5,0,0,0.092498142775513,0,1,0,32.0384461353624,5
19,6,0,0,0.092498142775513,0,1,0,32.0384461353624,5
19,7,0,0,0.092498142775513,0,1,0,32.0384461353624,5
19,8,0,0,0.092498142775513,0,1,0,32.0384461353624,5
19,9,0,0,0.092498142775513,0,1,0,32.0384461353624,5
20,0,0,0,0.092498142775513,0,1,0,32.0384461353624,5
20,1,0,0,0.092498142775513,0,1,0,32.0384461353624,5
20,2,0,0,0.092498142775513,0,1,0,32.0384461353624,5
20,3,0,0,0.092498142775513,0,1,0,32.0384461353624,5
20,4,0,0,0.092498142775513,0,1,0,32.0384461353624,5
20,5,0,0,0.092498142775513,0,1,0,32.0384461353624,5
20,6,0,0,0.092498142775513,0,1,0,32.0384461353624,5
20,7,0,0,0.092498142775513,0,1,0,32.0384461353624,5
20,8,0,0,0.092498142775513,0,1,0,32.0384461353624,5
20,9,0,0,0.092498142775513,0,1,0,32.0384461353624,5
21,0,0,0,0.100783465395752,0,1,0,32.0384461353624,5
21,1,0,0,0.100783465395752,0,1,0,32.0384461353624,5
21,2,0,0,0.100783465395752,0,1,0,32.0384461353624,5
21,3,0,0,0.100783465395752,0,1,0,32.0384461353624,5
21,4,0,0,0.100783465395752,0,1,0,32.0384461353624,5
21,5,0,0,0.100783465395752,0,1,0,32.0384461353624,5
21,6,0,0,0.100783465395752,0,1,0,32.0384461353624,5
21,7,0,0,0.100783465395752,0,1,0,32.0384461353624,5
21,8,0,0,0.100783465395752,0,1,0,32.0384461353624,5
21,9,0,0,0.100783465395752,0,1,0,32.0384461353624,5
22,0,0,0,0.100783465395752,0,1,0,32.0384461353624,5
22,1,0,0,0.100783465395752,0,1,0,32.0384461353624,5
22,2,0,0,0.100783465395752,0,1,0,32.0384461353624,5
22,3,0,0,0.100783465395752,0,1,0,32.0384461353624,5
22,4,0,0,0.100783465395752,0,1,0,32.0384461353624,5
22,5,0,0,0.100783465395752,0,1,0,32.0384461353624,5
22,6,0,0,0.100783465395752,0,1,0,32.0384461353624,5
22,7,0,0,0.100783465395752,0,1,0,32.0384461353624,5
22,8,0,0,0.100783465395752,0,1,0,32.0384461353624,5
22,9,0,0,0.100783465395752,0,1,0,32.0384461353624,5
23,0,0,0,0.100783465395752,0,1,0,32.0384461353624,5
23,1,0,0,0.100783465395752,0,1,0,32.0384461353624,5
23,2,0,0,0.100783465395752,0,1,0,32.0384461353624,5
23,3,0,0,0.100783465395752,0,1,0,32.0384461353624,5
23,4,0,0,0.100783465395752,0,1,0,32.0384461353624,5
23,5,0,0,0.100783465395752,0,1,0,32.0384461353624,5
23,6,0,0,0.100783465395752,0,1,0,32.0384461353624,5
23,7,0,0,0.100783465395752,0,1,0,32.0384461353624,5
23,8,0,0,0.100783465395752,0,1,0,32.0384461353624,5
23,9,0,0,0.100783465395752,0,1,0,32.0384461353624,5
24,0,0,0,0.100783465395752,0,1,0,32.0384461353624,5
24,1,0,0,0.100783465395752,0,1,0,32.0384461353624,5
24,2,0,0,0.100783465395752,0,1,0,32.0384461353624,5
24,3,0,0,0.100783465395752,0,1,0,32.0384461353624,5
24,4,0,0,0.100783465395752,0,1,0,32.0384461353624,5
24,5,0,0,0.100783465395752,0,1,0,32.0384461353624,5
24,6,0,0,0.100783465395752,0,1,0,32.0384461353624,5
24,7,0,0,0.100783465395752,0,1,0,32.0384461353624,5
24,8,0,0,0.100783465395752,0,1,0,32.0384461353624,5
24,9,0,0,0.100783465395752,0,1,0,32.0384461353624,5
25,0,0,0,0.100783465395752,0,1,0,32.0384461353624,5
25,1,0,0,0.100783465395752,0,1,0,32.0384461353624,5
25,2,0,0,0.100783465395752,0,1,0,32.0384461353624,5
25,3,0,0,0.100783465395752,0,1,0,32.0384461353624,5
25,4,0,0,0.100783465395752,0,1,0,32.0384461353624,5
25,5,0,0,0.100783465395752,0,1,0,32.0384461353624,5
25,6,0,0,0.100783465395752,0,1,0,32.0384461353624,5
25,7,0,0,0.100783465395752,0,1,0,32.0384461353624,5
25,8,0,0,0.100783465395752,0,1,0,32.0384461353624,5
25,9,0,0,0.100783465395752,0,1,0,32.0384461353624,5
26,0,0,0,0.100783465395752,0,1,0,32.0384461353624,5
26,1,0,0,0.100783465395752,0,1,0,32.0384461353624,5
26,2,0,0,0.100783465395752,0,1,0,32.0384461353624,5
26,3,0,0,0.100783465395752,0,1,0,32.0384461353624,5
26,4,0,0,0.100783465395752,0,1,0,32.0384461353624,5
26,5,0,0,0.100783465395752,0,1,0,32.0384461353624,5
26,6,0,0,0.100783465395752,0,1,0,32.0384461353624,5
26,7,0,0,0.100783465395752,0,1,0,32.0384461353624,5
26,8,0,0,0.100783465395752,0,1,0,32.0384461353624,5
26,9,0,0,0.100783465395752,0,1,0,32.0384461353624,5
27,0,0,0,0.100783465395752,0,1,0,32.0384461353624,5
27,1,0,0,0.100783465395752,0,1,0,32.0384461353624,5
27,2,0,0,0.100783465395752,0,1,0,32.0384461353624,5
27,3,0,0,0.100783465395752,0,1,0,32.0384461353624,5
27,4,0,0,0.100783465395752,0,1,0,32.0384461353624,5
27,5,0,0,0.100783465395752,0,1,0,32.0384461353624,5
27,6,0,0,0.100783465395752,0,1,0,32.0384461353624,5
27,7,0,0,0.100783465395752,0,1,0,32.0384461353624,5
27,8,0,0,0.100783465395752,0,1,0,32.0384461353624,5
27,9,0,0,0.100783465395752,0,1,0,32.0384461353624,5
28,0,0,0,0.100783465395752,0,1,0,32.0384461353624,5
28,1,0,0,0.100783465395752,0,1,0,32.0384461353624,5
